value,lulc,lu,lc,general,macro
10,Tidal Waters,Tidal Waters,Water,Water,Water
11,Lakes and Reservoirs,Lakes and Reservoirs,Water,Water,Water
12,Riverine Ponds,Riverine Ponds,Water,Water,Water
13,Terrene Ponds,Terrene Ponds,Water,Water,Water
14,Streams and Rivers,Streams and Rivers,Water,Water,Water
15,Bare Shore,Bare Shore,Barren,Natural Succession,Natural
20,Roads,Roads,Impervious Roads,Impervious Roads,Developed
21,Structures,Structures,Impervious Structures,Impervious Structures,Developed
22,Other Impervious,Other Impervious,Other Impervious,"Impervious, Other",Developed
23,Tree Canopy Over Roads,Tree Canopy Over Roads,Tree Canopy Over Impervious Roads,Tree Canopy over Impervious,Developed
24,Tree Canopy Over Structures,Tree Canopy Over Structures,Tree Canopy Over Impervious Structures,Tree Canopy over Impervious,Developed
25,Tree Canopy Over Other Impervious,Tree Canopy Over Other Impervious,Tree Canopy Over Other Impervious,Tree Canopy over Impervious,Developed
26,Tree Canopy Over Turf Grass,Tree Canopy Over Turf,Tree Canopy,Tree Canopy over Turf Grass,Developed
27,Turf Grass,Turf,Low Vegetation,Turf Grass,Developed
28,Bare Developed,Developed,Barren,"Pervious Developed, Other",Developed
30,Extractive Barren,Extractive,Barren,Extractive,Developed
31,Extractive Impervious,Extractive,Other Impervious,Extractive,Developed
32,Solar Field Panel Arrays,Solar Field,Other Impervious,"Impervious, Other",Developed
33,Solar Field Barren,Solar Field,Barren,"Pervious Developed, Other",Developed
34,Solar Field Herbaceous,Solar Field,Low Vegetation,"Pervious Developed, Other",Developed
35,Solar Field Shrubland,Solar Field,Shrubland,"Pervious Developed, Other",Developed
36,Suspended Succession Barren,Suspended Succession,Barren,"Pervious Developed, Other",Developed
37,Suspended Succession Herbaceous,Suspended Succession,Low Vegetation,"Pervious Developed, Other",Developed
38,Suspended Succession Shrubland,Suspended Succession,Shrubland,"Pervious Developed, Other",Developed
40,Forest,Forest,Tree Canopy,Forest,Natural
41,Forested Other,Forested Other,Tree Canopy,"Forested, Other",Natural
42,Natural Succession Barren,Natural Succession,Barren,Natural Succession,Natural
43,Natural Succession Herbaceous,Natural Succession,Low Vegetation,Natural Succession,Natural
44,Natural Succession Shrubland,Natural Succession,Shrubland,Natural Succession,Natural
45,Harvested Forest Barren,Harvested Forest,Barren,Harvested Forest,Natural
46,Harvested Forest Herbaceous,Harvested Forest,Low Vegetation,Harvested Forest,Natural
50,Riverine Wetlands Barren,Riverine Wetlands,Barren,"Wetlands, Riverine Non-forested",Natural
51,Riverine Wetlands Herbaceous,Riverine Wetlands,Low Vegetation,"Wetlands, Riverine Non-forested",Natural
52,Riverine Wetlands Shrubland,Riverine Wetlands,Shrubland,"Wetlands, Riverine Non-forested",Natural
53,Riverine Wetlands Forested Other,Riverine Wetlands,Tree Canopy,"Forested, Other",Natural
54,Riverine Wetlands Forest,Riverine Wetlands,Tree Canopy,Forest,Natural
55,Riverine Wetlands Harvested Forest,Harvested Forest,Low Vegetation,Harvested Forest,Natural
60,Terrene Wetlands Barren,Terrene Wetlands,Barren,"Wetlands, Terrene Non-forested",Natural
61,Terrene Wetlands Herbaceous,Terrene Wetlands,Low Vegetation,"Wetlands, Terrene Non-forested",Natural
62,Terrene Wetlands Shrubland,Terrene Wetlands,Shrubland,"Wetlands, Terrene Non-forested",Natural
63,Terrene Wetlands Forested Other,Terrene Wetlands,Tree Canopy,"Forested, Other",Natural
64,Terrene Wetlands Forest,Terrene Wetlands,Tree Canopy,Forest,Natural
65,Terrene Wetlands Harvested Forest,Harvested Forest,Low Vegetation,Harvested Forest,Natural
70,Tidal Wetlands Barren,Tidal Wetlands,Barren,"Wetlands, Tidal Non-forested",Natural
71,Tidal Wetlands Herbaceous,Tidal Wetlands,Low Vegetation,"Wetlands, Tidal Non-forested",Natural
72,Tidal Wetlands Shrubland,Tidal Wetlands,Shrubland,"Wetlands, Tidal Non-forested",Natural
73,Tidal Wetlands Forested Other,Tidal Wetlands,Tree Canopy,"Forested, Other",Natural
74,Tidal Wetlands Forest,Tidal Wetlands,Tree Canopy,Forest,Natural
75,Tidal Wetlands Harvested Forest,Harvested Forest,Low Vegetation; Barren,Harvested Forest,Natural
80,Cropland Barren,Cropland,Barren,Cropland,Agricultural
81,Cropland Herbaceous,Cropland,Low Vegetation,Cropland,Agricultural
82,Orchards and Vineyards Barren,Orchards and Vineyards,Barren,Cropland,Agricultural
83,Orchards and Vineyards Herbaceous,Orchards and Vineyards,Low Vegetation,Cropland,Agricultural
84,Orchards and Vineyards Shrubland,Orchards and Vineyards,Shrubland,Cropland,Agricultural
85,Pasture and Hay Barren,Pasture and Hay,Barren,Pasture and Hay,Agricultural
86,Pasture and Hay Herbaceous,Pasture and Hay,Low Vegetation,Pasture and Hay,Agricultural
90,Agricultural Structures,Animal Operation,Impervious Structures,Impervious Structures,Agricultural
91,Animal Operation Impervious,Animal Operation,Other Impervious,"Impervious, Other",Agricultural
92,Animal Operation Barren,Animal Operation,Barren,Pasture and Hay,Agricultural
93,Animal Operation Herbaceous,Animal Operation,Low Vegetation,Pasture and Hay,Agricultural
94,Tree Canopy over Agricultural Structure,Animal Operation,Tree Canopy Over Impervious Structures,Tree Canopy over Impervious,Agricultural
95,Tree Canopy over Animal Operation Impervious,Animal Operation,Tree Canopy Over Other Impervious,Tree Canopy over Impervious,Agricultural
