Value,lulcc,lu_T1,lu_T2,lc_T1,lc_T2,general_T1,general_T2,macro_T1,macro_T2
1015,Tidal Waters to Bare Shore,Tidal Waters,Bare Shore,Water,Barren,Water,Natural Succession,Water,Natural
1020,Tidal Waters to Roads,Tidal Waters,Roads,Water,Impervious Roads,Water,Impervious Roads,Water,Developed
1021,Tidal Waters to Structures,Tidal Waters,Structures,Water,Impervious Structures,Water,Impervious Structures,Water,Developed
1022,Tidal Waters to Other Impervious,Tidal Waters,Other Impervious,Water,Other Impervious,Water,"Impervious, Other",Water,Developed
1024,Tidal Waters to Tree Canopy Over Structures,Tidal Waters,Tree Canopy Over Structures,Water,Tree Canopy Over Impervious Structures,Water,Tree Canopy over Impervious,Water,Developed
1025,Tidal Waters to Tree Canopy Over Other Impervious,Tidal Waters,Tree Canopy Over Other Impervious,Water,Tree Canopy Over Other Impervious,Water,Tree Canopy over Impervious,Water,Developed
1026,Tidal Waters to Tree Canopy Over Turf Grass,Tidal Waters,Tree Canopy Over Turf,Water,Tree Canopy,Water,Tree Canopy over Turf Grass,Water,Developed
1027,Tidal Waters to Turf Grass,Tidal Waters,Turf,Water,Low Vegetation,Water,Turf Grass,Water,Developed
1028,Tidal Waters to Bare Developed,Tidal Waters,Developed,Water,Barren,Water,"Pervious Developed, Other",Water,Developed
1037,Tidal Waters to Suspended Succession Herbaceous,Tidal Waters,Suspended Succession,Water,Low Vegetation,Water,"Pervious Developed, Other",Water,Developed
1038,Tidal Waters to Suspended Succession Shrubland,Tidal Waters,Suspended Succession,Water,Shrubland,Water,"Pervious Developed, Other",Water,Developed
1040,Tidal Waters to Forest,Tidal Waters,Forest,Water,Tree Canopy,Water,Forest,Water,Natural
1041,Tidal Waters to Forested Other,Tidal Waters,Forested Other,Water,Tree Canopy,Water,"Forested, Other",Water,Natural
1042,Tidal Waters to Natural Succession Barren,Tidal Waters,Natural Succession,Water,Barren,Water,Natural Succession,Water,Natural
1043,Tidal Waters to Natural Succession Herbaceous,Tidal Waters,Natural Succession,Water,Low Vegetation,Water,Natural Succession,Water,Natural
1044,Tidal Waters to Natural Succession Shrubland,Tidal Waters,Natural Succession,Water,Shrubland,Water,Natural Succession,Water,Natural
1046,Tidal Waters to Harvested Forest Herbaceous,Tidal Waters,Harvested Forest,Water,Low Vegetation,Water,Harvested Forest,Water,Natural
1050,Tidal Waters to Riverine Wetlands Barren,Tidal Waters,Riverine Wetlands,Water,Barren,Water,"Wetlands, Riverine Non-forested",Water,Natural
1051,Tidal Waters to Riverine Wetlands Herbaceous,Tidal Waters,Riverine Wetlands,Water,Low Vegetation,Water,"Wetlands, Riverine Non-forested",Water,Natural
1053,Tidal Waters to Riverine Wetlands Forested Other,Tidal Waters,Riverine Wetlands,Water,Tree Canopy,Water,"Forested, Other",Water,Natural
1054,Tidal Waters to Riverine Wetlands Forest,Tidal Waters,Riverine Wetlands,Water,Tree Canopy,Water,Forest,Water,Natural
1055,Tidal Waters to Riverine Wetlands Harvested Forest,Tidal Waters,Harvested Forest,Water,Low Vegetation,Water,Harvested Forest,Water,Natural
1070,Tidal Waters to Tidal Wetlands Barren,Tidal Waters,Tidal Wetlands,Water,Barren,Water,"Wetlands, Tidal Non-forested",Water,Natural
1071,Tidal Waters to Tidal Wetlands Herbaceous,Tidal Waters,Tidal Wetlands,Water,Low Vegetation,Water,"Wetlands, Tidal Non-forested",Water,Natural
1072,Tidal Waters to Tidal Wetlands Shrubland,Tidal Waters,Tidal Wetlands,Water,Shrubland,Water,"Wetlands, Tidal Non-forested",Water,Natural
1073,Tidal Waters to Tidal Wetlands Forested Other,Tidal Waters,Tidal Wetlands,Water,Tree Canopy,Water,"Forested, Other",Water,Natural
1074,Tidal Waters to Tidal Wetlands Forest,Tidal Waters,Tidal Wetlands,Water,Tree Canopy,Water,Forest,Water,Natural
1075,Tidal Waters to Tidal Wetlands Harvested Forest,Tidal Waters,Harvested Forest,Water,Low Vegetation,Water,Harvested Forest,Water,Natural
1080,Tidal Waters to Cropland Barren,Tidal Waters,Cropland,Water,Barren,Water,Cropland,Water,Agricultural
1081,Tidal Waters to Cropland Herbaceous,Tidal Waters,Cropland,Water,Low Vegetation,Water,Cropland,Water,Agricultural
1086,Tidal Waters to Pasture and Hay Herbaceous,Tidal Waters,Pasture and Hay,Water,Low Vegetation,Water,Pasture and Hay,Water,Agricultural
1115,Lakes and Reservoirs to Bare Shore,Lakes and Reservoirs,Bare Shore,Water,Barren,Water,Natural Succession,Water,Natural
1120,Lakes and Reservoirs to Roads,Lakes and Reservoirs,Roads,Water,Impervious Roads,Water,Impervious Roads,Water,Developed
1121,Lakes and Reservoirs to Structures,Lakes and Reservoirs,Structures,Water,Impervious Structures,Water,Impervious Structures,Water,Developed
1122,Lakes and Reservoirs to Other Impervious,Lakes and Reservoirs,Other Impervious,Water,Other Impervious,Water,"Impervious, Other",Water,Developed
1123,Lakes and Reservoirs to Tree Canopy Over Roads,Lakes and Reservoirs,Tree Canopy Over Roads,Water,Tree Canopy Over Impervious Roads,Water,Tree Canopy over Impervious,Water,Developed
1126,Lakes and Reservoirs to Tree Canopy Over Turf Grass,Lakes and Reservoirs,Tree Canopy Over Turf,Water,Tree Canopy,Water,Tree Canopy over Turf Grass,Water,Developed
1127,Lakes and Reservoirs to Turf Grass,Lakes and Reservoirs,Turf,Water,Low Vegetation,Water,Turf Grass,Water,Developed
1128,Lakes and Reservoirs to Bare Developed,Lakes and Reservoirs,Developed,Water,Barren,Water,"Pervious Developed, Other",Water,Developed
1130,Lakes and Reservoirs to Extractive Barren,Lakes and Reservoirs,Extractive,Water,Barren,Water,Extractive,Water,Developed
1131,Lakes and Reservoirs to Extractive Impervious,Lakes and Reservoirs,Extractive,Water,Other Impervious,Water,Extractive,Water,Developed
1137,Lakes and Reservoirs to Suspended Succession Herbaceous,Lakes and Reservoirs,Suspended Succession,Water,Low Vegetation,Water,"Pervious Developed, Other",Water,Developed
1138,Lakes and Reservoirs to Suspended Succession Shrubland,Lakes and Reservoirs,Suspended Succession,Water,Shrubland,Water,"Pervious Developed, Other",Water,Developed
1140,Lakes and Reservoirs to Forest,Lakes and Reservoirs,Forest,Water,Tree Canopy,Water,Forest,Water,Natural
1141,Lakes and Reservoirs to Forested Other,Lakes and Reservoirs,Forested Other,Water,Tree Canopy,Water,"Forested, Other",Water,Natural
1142,Lakes and Reservoirs to Natural Succession Barren,Lakes and Reservoirs,Natural Succession,Water,Barren,Water,Natural Succession,Water,Natural
1143,Lakes and Reservoirs to Natural Succession Herbaceous,Lakes and Reservoirs,Natural Succession,Water,Low Vegetation,Water,Natural Succession,Water,Natural
1144,Lakes and Reservoirs to Natural Succession Shrubland,Lakes and Reservoirs,Natural Succession,Water,Shrubland,Water,Natural Succession,Water,Natural
1146,Lakes and Reservoirs to Harvested Forest Herbaceous,Lakes and Reservoirs,Harvested Forest,Water,Low Vegetation,Water,Harvested Forest,Water,Natural
1150,Lakes and Reservoirs to Riverine Wetlands Barren,Lakes and Reservoirs,Riverine Wetlands,Water,Barren,Water,"Wetlands, Riverine Non-forested",Water,Natural
1151,Lakes and Reservoirs to Riverine Wetlands Herbaceous,Lakes and Reservoirs,Riverine Wetlands,Water,Low Vegetation,Water,"Wetlands, Riverine Non-forested",Water,Natural
1152,Lakes and Reservoirs to Riverine Wetlands Shrubland,Lakes and Reservoirs,Riverine Wetlands,Water,Shrubland,Water,"Wetlands, Riverine Non-forested",Water,Natural
1153,Lakes and Reservoirs to Riverine Wetlands Forested Other,Lakes and Reservoirs,Riverine Wetlands,Water,Tree Canopy,Water,"Forested, Other",Water,Natural
1154,Lakes and Reservoirs to Riverine Wetlands Forest,Lakes and Reservoirs,Riverine Wetlands,Water,Tree Canopy,Water,Forest,Water,Natural
1155,Lakes and Reservoirs to Riverine Wetlands Harvested Forest,Lakes and Reservoirs,Harvested Forest,Water,Low Vegetation,Water,Harvested Forest,Water,Natural
